"provider","category","location","service","published_usd","unit","provider_quote_obtained","source","checked_at"
"Madhouse Motors","motorcycle","24 Blue Hill Ave, Boston, MA","Standard labor","165","hour","false","https://www.madhousemotors.com/repairs","2026-09-19"
"Madhouse Motors","motorcycle","24 Blue Hill Ave, Boston, MA","Oversized motorcycle labor","185","hour","false","https://www.madhousemotors.com/repairs","2026-09-19"
"Madhouse Motors","motorcycle","24 Blue Hill Ave, Boston, MA","Fabrication","225","hour","false","https://www.madhousemotors.com/repairs","2026-09-19"
"Quirk Chevrolet","car","444 Quincy Avenue, Braintree, MA 02184","Individual estimate needed","","","false","https://www.quirkchevy.com/service-2/","2026-09-19"
"NEMO mobile bicycle repair","bicycle","Mobile service across Cambridge, MA","Standard bicycle repair visit","95","visit","false","https://get-nemo.com/cambridge","2026-09-19"
"NEMO mobile bicycle repair","bicycle","Mobile service across Cambridge, MA","E-bike / cargo bicycle visit","135","visit","false","https://get-nemo.com/cambridge","2026-09-19"
