id,type,name,operator,county,state_abb,fips,lat,lon,sqft,grid_region_code,grid_match,fossil_majority_hours_pct
00931369845,building,Johns Hopkins Data Center,,Baltimore city,MD,24510,39.29355879768687,-76.55173790938491,3880.0,PJM,county served by one grid region,93.4
09669340912,point,Crown Castle Baltimore,Crown Castle Fiber,Baltimore city,MD,24510,39.28770169999999,-76.6064893,,PJM,county served by one grid region,93.4
09669405859,point,AiNET One Market Center,AiNET,Baltimore city,MD,24510,39.29175829999999,-76.6203737,,PJM,county served by one grid region,93.4
11168593074,point,Lumen Baltimore,Lumen Technologies,Baltimore city,MD,24510,39.29175920000002,-76.6204024,,PJM,county served by one grid region,93.4
11168593094,point,Expedient Tidepoint,Expedient,Baltimore city,MD,24510,39.2746554,-76.5916709,,PJM,county served by one grid region,93.4
00178331621,building,,,Frederick County,MD,24021,39.377776311443,-77.41151850611422,64023.0,PJM,county served by one grid region,93.4
01143804764,building,,,Howard County,MD,24027,39.13368478590359,-76.85140715035047,112205.0,PJM,county served by one grid region,93.4
00093210344,building,Lincoln Rackhouse Maryland,Lincoln Rackhouse,Montgomery County,MD,24031,39.05856287562289,-76.9643217094945,146301.0,PJM,county served by one grid region,93.4
00363017375,building,AiNET,,Prince George's County,MD,24033,39.052822508078144,-76.92590821703205,43057.0,PJM,county served by one grid region,93.4
00667796922,building,Oxford Networks,FirstLight,Cumberland County,ME,23005,43.895071082625066,-69.92315054547124,55383.0,ISNE,county served by one grid region,80.5
07171975407,point,FirstLight Data Center,FirstLight,Cumberland County,ME,23005,43.657838799999986,-70.26137850000002,,ISNE,county served by one grid region,80.5
00544536822,building,Liquid Web,,Eaton County,MI,26045,42.687951324568324,-84.64299464110024,23079.0,MISO,county served by one grid region,91.3
00545060574,building,"Liquid Web, Inc",,Eaton County,MI,26045,42.70539040001097,-84.66608910001226,72843.0,MISO,county served by one grid region,91.3
00755540694,building,,,Genesee County,MI,26049,42.968713165412495,-83.77960216531768,36835.0,MISO,county served by one grid region,91.3
08641856300,point,Chick-fil-A Hiring Center,Dennis Sampier,Macomb County,MI,26099,42.62794240000004,-82.98839390000002,,MISO,county served by one grid region,91.3
11815482844,point,,,Monroe County,MI,26115,41.807281700000004,-83.6276287,,,"not assigned: county is served by MISO, PJM",
00377585075,building,EdgeConneX Detroit DET01,EdgeConneX,Oakland County,MI,26125,42.447696914234804,-83.26266713633784,40574.0,MISO,county served by one grid region,91.3
00071187940,building,,Verizon Wireless,Wayne County,MI,26163,42.32626638236376,-83.07698605760793,24933.0,MISO,county served by one grid region,91.3
00773848531,building,,US Signal,Wayne County,MI,26163,42.23532661902879,-83.44414059814616,24599.0,MISO,county served by one grid region,91.3
00812630939,building,Comcast,Comcast,Wayne County,MI,26163,42.21390200001323,-83.19821400000001,953.0,MISO,county served by one grid region,91.3
00903236619,building,,Quicken Loans,Wayne County,MI,26163,42.32617958756391,-83.06975885855375,46220.0,MISO,county served by one grid region,91.3
01391966326,building,Encompass Minneapolis Facility,Encompass,Anoka County,MN,27003,45.13219704691406,-93.09562181940242,74101.0,MISO,county served by one grid region,91.3
00052227492,building,Flexential Minneapolis - Chaska,Flexential,Carver County,MN,27019,44.851592871190945,-93.59883127427163,135505.0,MISO,county served by one grid region,91.3
01333289545,campus,Meta Rosemount Data Center,Meta,Dakota County,MN,27037,44.73502983558099,-93.06262672085373,10334558.0,MISO,county served by one grid region,91.3
01454573842,building,,,Dakota County,MN,27037,44.7347589273926,-93.06186047500412,328419.0,MISO,county served by one grid region,91.3
01454573843,building,,,Dakota County,MN,27037,44.734508305632374,-93.06488082739824,273743.0,MISO,county served by one grid region,91.3
00045448535,building,,,Hennepin County,MN,27053,44.99145768142225,-93.28029157225949,51180.0,MISO,county served by one grid region,91.3
00063619642,building,Minnesota Gateway Data Center,,Hennepin County,MN,27053,44.97130185223087,-93.25465186805063,87697.0,MISO,county served by one grid region,91.3
01343100173,building,DataBank,,Hennepin County,MN,27053,45.14371136905177,-93.38712828955705,114648.0,MISO,county served by one grid region,91.3
00718465287,building,Epic / Mayo Data Center,,Olmsted County,MN,27109,44.07081644375691,-92.52212055150673,48317.0,MISO,county served by one grid region,91.3
00131874718,building,H5 Minneapolis,H5,Ramsey County,MN,27123,44.97225309779238,-93.14746015507276,108201.0,MISO,county served by one grid region,91.3
01307072785,building,Ark Duluth Data Center,,St. Louis County,MN,27137,46.82746658999977,-92.13043071418325,27162.0,MISO,county served by one grid region,91.3
00553884511,building,Carfax,,Boone County,MO,29019,38.9235119701765,-92.28862384290709,39487.0,,"not assigned: county is served by AECI, MISO",
01371348227,building,CenturyLink,,Caldwell County,MO,29025,39.74404823646494,-93.9973760190651,1433.0,AECI,county served by one grid region,100.0
01126774147,campus,Meta Kansas City Data Center,Meta,Clay County,MO,29047,39.32235240495545,-94.59555838490552,13516765.0,,"not assigned: county is served by AECI, SWPP",
01184066765,building,Meta Data Center,Meta,Clay County,MO,29047,39.322650867796824,-94.59806356908611,615937.0,,"not assigned: county is served by AECI, SWPP",
01433936352,building,,,Clay County,MO,29047,39.32263663463124,-94.59492397885744,307414.0,,"not assigned: county is served by AECI, SWPP",
09861806598,point,,,Jackson County,MO,29095,39.101181600000075,-94.57882090000001,,,"not assigned: county is served by AECI, SWPP",
09922928085,point,Netrality Data Centers,,Jackson County,MO,29095,39.10090709999998,-94.5811452,,,"not assigned: county is served by AECI, SWPP",
00195165330,building,,,Platte County,MO,29165,39.2906006524332,-94.67586457208311,59078.0,,"not assigned: county is served by AECI, SWPP",
00195165354,building,,,Platte County,MO,29165,39.29565786992253,-94.67347189936218,240121.0,,"not assigned: county is served by AECI, SWPP",
00195165374,building,Black Rock Financial Management,,Platte County,MO,29165,39.295491746601805,-94.67802527416188,80025.0,,"not assigned: county is served by AECI, SWPP",
00195169261,building,,,Platte County,MO,29165,39.30240570006526,-94.68479180000348,51140.0,,"not assigned: county is served by AECI, SWPP",
00288909509,building,,,Platte County,MO,29165,39.290121050497966,-94.68505095083452,30923.0,,"not assigned: county is served by AECI, SWPP",
01126774147,campus,Meta Kansas City Data Center,Meta,Platte County,MO,29165,39.32235240495545,-94.59555838490552,13516765.0,,"not assigned: county is served by AECI, SWPP",
00042323063,building,Netrality Data Centers,,St. Louis city,MO,29510,38.62926158352849,-90.197174834978,23093.0,MISO,county served by one grid region,91.3
00253682978,building,TierPoint,,St. Louis city,MO,29510,38.62976100794761,-90.1964202669285,24039.0,MISO,county served by one grid region,91.3
00617511179,building,Genome Data Center,Washington University in St. Louis,St. Louis city,MO,29510,38.63656882805553,-90.25539338967405,24519.0,MISO,county served by one grid region,91.3
01077131079,building,xAI Macrohardrr,xAI,DeSoto County,MS,28033,34.99348804291279,-90.03416995691286,812955.0,MISO,county served by one grid region,91.3
01459880367,campus,Amazon Canton Data Center,,Madison County,MS,28089,32.597993067055405,-90.0918524305196,16581378.0,MISO,county served by one grid region,91.3
01417637306,building,State of Montana Data Center,State of Montana,Custer County,MT,30017,46.40689745786043,-105.82064474453561,8493.0,,"not assigned: county is served by NWMT, SWPP, WAUW",
00758426349,building,,,Granite County,MT,30039,46.33213162016486,-113.29267194552415,1510.0,BPAT,county served by one grid region,0.0
00009474864,campus,Google Data Center,Google,Caldwell County,NC,37027,35.89473769568106,-81.54651452543965,3407194.0,DUK,county served by one grid region,17.2
00014593270,campus,Apple - Maiden Data Center,,Catawba County,NC,37035,35.588771360781784,-81.26180877040838,5431080.0,DUK,county served by one grid region,17.2
00116005354,building,,,Catawba County,NC,37035,35.588012637841835,-81.26252687782907,564402.0,DUK,county served by one grid region,17.2
00652034566,building,,,Catawba County,NC,37035,35.58705991324804,-81.26027296867808,207083.0,DUK,county served by one grid region,17.2
00873137563,building,,,Catawba County,NC,37035,35.5903923643093,-81.26456965310366,203410.0,DUK,county served by one grid region,17.2
00715098032,campus,T5 Charlotte Campus,,Cleveland County,NC,37045,35.25044990396285,-81.3950094307914,379990.0,DUK,county served by one grid region,17.2
07324132050,point,Windstream Communications,,Durham County,NC,37063,35.88139699999996,-78.851552,,,"not assigned: county is served by CPLE, DUK",
07324132051,point,Level 3 Communications,,Durham County,NC,37063,35.88136400000003,-78.8515726,,,"not assigned: county is served by CPLE, DUK",
10567817971,point,Brandaleone Lab for Data and Visualization,Duke Libraries,Durham County,NC,37063,36.00309929999997,-78.9385323,,,"not assigned: county is served by CPLE, DUK",
00215630401,building,Flexential Charlotte - South,Flexential,Mecklenburg County,NC,37119,35.13543064967395,-80.93687158006364,33741.0,DUK,county served by one grid region,17.2
00516686211,building,Spectrum Charlotte National Data Center,,Mecklenburg County,NC,37119,35.142789017171076,-80.91620847296733,93604.0,DUK,county served by one grid region,17.2
00838817907,building,TierPoint - Charlotte Data Center,TierPoint,Mecklenburg County,NC,37119,35.17319550189212,-80.9281209975006,61578.0,DUK,county served by one grid region,17.2
